경매개시일,법원명,경매사건번호,주소,대지권,전용,감정가,낙찰가,낙찰일,입찰인수,유찰수,매각가율,역과의거리,임차인대항력,,,,,,,,,
20181226,서울남부 ,2018-108169, 강서구 화곡동 409-93 제3층 제비호(현관문표기:302호),6.3,12.3,11200 ,2349 ,2020-05-20,1 ,7 ,0.21 ,681 ,1 ,,,,,,,,,
20190104,서울북부 ,2019-74, 성북구 장위동 2303 성우스타팰리스 제101동 제4층 제401호   ,8,13.9,24647 ,11898 ,2020-06-29,1 ,4 ,0.48 ,952 ,1 ,,,,,,,,,
20190108,서울서부,2019-124, 마포구 구수동 47외 2필지 문하우스 제2층 제202호 ,6.6,9,23500 ,23100 ,2020-02-18,3 ,1 ,0.98 ,161 ,1 ,,,,,,,,,
20190108,서울서부 ,2019-124, 마포구 구수동 47외 2필지 문하우스 제4층 제402호   ,12.7,17.6,33600 ,8808 ,2020-07-14,1 ,6 ,0.26 ,146 ,1 ,,,,,,,,,
20190108,서울남부 ,2019-217, 강서구 화곡동 46416외 1필지 다솜빌 제4층 제401호   ,8.8,19.4,26000 ,20971 ,2020-08-26,0 ,1 ,0.81 ,892 ,0 ,,,,,,,,,
20190109,서울남부 ,2019-255, 양천구 신월동 199 연희빌라 제1층 제101호   ,13.6,11.9,12600 ,2888 ,2020-12-02,1 ,7 ,0.23 ,640 ,1 ,,,,,,,,,
20190111,서울서부,2019-254, 은평구 응암동 603-72 제1층 제나호   ,7.7,10,11500 ,11530 ,2020-04-21,1 ,0 ,1.00 ,544 ,0 ,,,,,,,,,
20190111,서울북부 ,2019-395, 중랑구 면목동 15765외 2필지 렉스빌 제5층 제501호   ,10,16.4,28600 ,25260 ,2020-11-16,1 ,1 ,0.88 ,690 ,0 ,,,,,,,,,
20190116,서울남부 ,2019-521, 양천구 신월동 461-20 선경빌라 나동 제2층 제202호   ,7.5,11.8,13000 ,11234 ,2020-01-22,1 ,1 ,0.80 ,716 ,1 ,,,,,,,,,
20190117,서울동부 ,2019-320, 송파구 풍납동 2209 외 1필지 글래드스위트 제4층 제402호  ,7.5,12.2,32700 ,27997 ,2020-06-29,3 ,1 ,0.86 ,646 ,0 ,,,,,,,,,
20190118,서울동부 ,2019-382, 강동구 암사동 492-3외 1필지 한솔아트빌 제5층 제501호  ,10,18.6,28100 ,23820 ,2020-02-10,4 ,1 ,0.80 ,441 ,0 ,,,,,,,,,
20190121,서울동부,2019-436, 강동구 길동 402-13 신한아트빌 제1층 제101호  ,9.2,15.6,20000 ,18111 ,2020-04-27,3 ,2 ,0.91 ,401 ,0 ,,,,,,,,,
20190121,서울중앙 ,2019-100425, 종로구 구기동 362 제1층 제103호  ,30.3,25.6,45300 ,38500 ,2020-06-11,1 ,1 ,0.85 ,2200 ,0 ,,,,,,,,,
20190123,서울중앙,2019-100470, 관악구 남현동 1072-12 하이원캐슬 제5층 제501호 ,11.5,20.4,44000 ,38290 ,2020-02-11,1 ,1 ,0.87 ,816 ,1 ,,,,,,,,,
20190123,서울중앙,2019-100470, 관악구 남현동 1072-12 하이원캐슬 제5층 제503호 ,10.6,18.8,40500 ,37514 ,2020-02-11,1 ,1 ,0.93 ,816 ,1 ,,,,,,,,,
20190123,서울중앙,2019-100470, 관악구 남현동 1072-12 하이원캐슬 제6층 제601호 ,11,19.5,42200 ,34688 ,2020-02-11,1 ,1 ,0.82 ,816 ,0 ,,,,,,,,,
20190124,서울서부 ,2019-50297, 은평구 불광동 13-16 주영빌트 제3층 제301호   ,6.8,17.2,29200 ,26000 ,2020-01-07,1 ,3 ,0.51 ,37 ,1 ,,,,,,,,,
20190124,서울서부,2019-537, 서대문구 홍은동 265-123 나은빌라 D동 제지하층 제비03호(현황표기:비01호),6.2,11.9,6400 ,5389 ,2022-08-30,3 ,2 ,1.19 ,1080 ,0 ,,,,,,,,,
20190125,서울북부 ,2019-968, 강북구 수유동 508-40 코지하우스 비(동) 제2층 제202호  ,8,13.6,23300 ,17311 ,2020-01-20,4 ,2 ,0.64 ,502 ,0 ,,,,,,,,,
20190125,서울남부,2019-781, 영등포구 대림동 686-9 장미빌라 제1층 제201호 ,10.6,11.3,17800 ,13930 ,2020-02-12,9 ,2 ,0.78 ,640 ,0 ,,,,,,,,,
20190128,서울서부 ,2019-50358, 서대문구 홍제동 156-477 하우스인 제2층 제202호   ,7.3,8.9,17500 ,16000 ,2020-01-21,1 ,3 ,0.51 ,624 ,1 ,,,,,,,,,
20190128,서울동부 ,2019-566, 강동구 성내동 220-5 서울그랑시아 제2층 제203호  ,8.4,13,31500 ,29300 ,2020-02-10,6 ,1 ,0.80 ,342 ,0 ,,,,,,,,,
20190129,서울중앙 ,2019-100722, 관악구 신림동 409-317 대영빌 제1층 제101호   ,6.1,8.8,9300 ,7917 ,2020-01-21,2 ,1 ,0.80 ,288 ,0 ,,,,,,,,,
20190129,서울서부,2018-7227, 서대문구 북가좌동 32122 라클라쎄 제101동 제2층 제202호   ,8.8,14.3,26700 ,8000 ,2021-07-13,2 ,8 ,0.30 ,347 ,1 ,,,,,,,,,
20190130,서울중앙,2019-747, 동작구 상도동 279-70 오복빌라 제1층 제102호 ,7.3,11.9,13500 ,12100 ,2020-02-11,1 ,1 ,0.90 ,778 ,0 ,,,,,,,,,
20190130,서울북부,2019-1107, 성북구 종암동 125-86외 1필지 그랜드빌 제3층 제303호 ,9,17.9,25900 ,20850 ,2020-02-17,2 ,2 ,0.81 ,581 ,0 ,,,,,,,,,
20190131,서울중앙,2018-9761, 동작구 상도동 299-174 한마음빌 제4층 제402호 ,7.3,14.1,17600 ,15801 ,2020-03-26,1 ,1 ,0.90 ,621 ,1 ,,,,,,,,,
20190201,서울동부 ,2019-50493, 광진구 구의동 554-1 현대그린빌라 제1층 제101호  ,13.3,22.5,29300 ,25001 ,2020-02-10,10 ,2 ,0.64 ,572 ,0 ,,,,,,,,,
20190207,서울중앙 ,2019-914, 관악구 신림동 220-21 삼성파크빌 제나동 제4층 제401호   ,8.1,15.9,20000 ,17679 ,2020-01-16,4 ,1 ,0.80 ,282 ,0 ,,,,,,,,,
20190207,서울중앙,2019-1009, 서초구 반포동 57742 센느빌 제3층 제301호 통칭 401호)   ,6.6,15.4,37400 ,31200 ,2021-02-16,2 ,1 ,0.83 ,569 ,1 ,,,,,,,,,
20190208,서울중앙 ,2019-1030, 관악구 신림동 94-282외 3필지 해담채 제101동 제6층 제601호   ,9.1,15.2,31300 ,27505 ,2020-01-21,2 ,1 ,0.80 ,478 ,0 ,,,,,,,,,
20190214,서울서부 ,2019-896, 은평구 불광동 480-233외 1필지 만연센텀씨티 제에이동 제5층 제501호   ,9.1,13.7,24100 ,16220 ,2020-01-21,1 ,2 ,0.64 ,470 ,0 ,,,,,,,,,
